species_name_audit_pk	species_pk	source_dataset	source_species_name	species_normalized	match_status
148		meiri	Lerista maculosa	lerista_maculosa	normalized_no_species_lookup_provided
149		meiri	Lerista nevinae	lerista_nevinae	normalized_no_species_lookup_provided
150		meiri	Lerista vermicularis	lerista_vermicularis	normalized_no_species_lookup_provided
151		meiri	Lipinia nitens	lipinia_nitens	normalized_no_species_lookup_provided
152		meiri	Lygisaurus malleolus	lygisaurus_malleolus	normalized_no_species_lookup_provided
153		meiri	Lygosoma veunsaiensis	lygosoma_veunsaiensis	normalized_no_species_lookup_provided
154		meiri	Madascincus nanus	madascincus_nanus	normalized_no_species_lookup_provided
155		meiri	Panaspis mocamedensis	panaspis_mocamedensis	normalized_no_species_lookup_provided
156		meiri	Panaspis tsavoensis	panaspis_tsavoensis	normalized_no_species_lookup_provided
157		meiri	Paracontias rothschildi	paracontias_rothschildi	normalized_no_species_lookup_provided
158		meiri	Saproscincus tetradactylus	saproscincus_tetradactylus	normalized_no_species_lookup_provided
159		meiri	Sphenomorphus alfredi	sphenomorphus_alfredi	normalized_no_species_lookup_provided
160		meiri	Sphenomorphus schlegeli	sphenomorphus_schlegeli	normalized_no_species_lookup_provided
161		meiri	Tytthoscincus batupanggah	tytthoscincus_batupanggah	normalized_no_species_lookup_provided
162		meiri	Tytthoscincus leproauricularis	tytthoscincus_leproauricularis	normalized_no_species_lookup_provided
163		meiri	Chatogekko amazonicus	chatogekko_amazonicus	normalized_no_species_lookup_provided
164		meiri	Lepidoblepharis buchwaldi	lepidoblepharis_buchwaldi	normalized_no_species_lookup_provided
165		meiri	Lepidoblepharis nukak	lepidoblepharis_nukak	normalized_no_species_lookup_provided
166		meiri	Lepidoblepharis peraccae	lepidoblepharis_peraccae	normalized_no_species_lookup_provided
167		meiri	Saurodactylus harrisii	saurodactylus_harrisii	normalized_no_species_lookup_provided
168		meiri	Sphaerodactylus altavelensis	sphaerodactylus_altavelensis	normalized_no_species_lookup_provided
169		meiri	Sphaerodactylus argivus	sphaerodactylus_argivus	normalized_no_species_lookup_provided
170		meiri	Sphaerodactylus bromeliarum	sphaerodactylus_bromeliarum	normalized_no_species_lookup_provided
171		meiri	Sphaerodactylus darlingtoni	sphaerodactylus_darlingtoni	normalized_no_species_lookup_provided
172		meiri	Sphaerodactylus elegantulus	sphaerodactylus_elegantulus	normalized_no_species_lookup_provided
173		meiri	Sphaerodactylus fantasticus	sphaerodactylus_fantasticus	normalized_no_species_lookup_provided
174		meiri	Sphaerodactylus guanajae	sphaerodactylus_guanajae	normalized_no_species_lookup_provided
175		meiri	Sphaerodactylus inaguae	sphaerodactylus_inaguae	normalized_no_species_lookup_provided
176		meiri	Sphaerodactylus kirbyi	sphaerodactylus_kirbyi	normalized_no_species_lookup_provided
177		meiri	Sphaerodactylus ladae	sphaerodactylus_ladae	normalized_no_species_lookup_provided
178		meiri	Sphaerodactylus leonardovaldesi	sphaerodactylus_leonardovaldesi	normalized_no_species_lookup_provided
179		meiri	Sphaerodactylus poindexteri	sphaerodactylus_poindexteri	normalized_no_species_lookup_provided
180		meiri	Sphaerodactylus samanensis	sphaerodactylus_samanensis	normalized_no_species_lookup_provided
181		meiri	Epictia vanwallachi	epictia_vanwallachi	normalized_no_species_lookup_provided
182		meiri	Tetracheilostoma bilineatum	tetracheilostoma_bilineatum	normalized_no_species_lookup_provided
183		meiri	Tetracheilostoma carlae	tetracheilostoma_carlae	normalized_no_species_lookup_provided
184		meiri	Tricheilostoma broadleyi	tricheilostoma_broadleyi	normalized_no_species_lookup_provided
185		meiri	Tricheilostoma dissimilis	tricheilostoma_dissimilis	normalized_no_species_lookup_provided
186		meiri	Anilios yampiensis	anilios_yampiensis	normalized_no_species_lookup_provided
